指标,一次多项式个数,二次多项式个数,调整R2中位数,RMSE中位数,LOOCV_RMSE中位数
乙醇转化率,5,16,0.986675110352989,1.35776596081228,4.75459359950396
C4烯烃选择性,8,13,0.984244372064099,0.939455009186557,2.60152331699212
