催化剂编号,指标,最终模型,模型表达式,调整R2,RMSE,LOOCV_RMSE,二次项F检验p值,选择依据
A1,C4烯烃选择性,一次多项式,"y = 50.784 + 15.436*z, z=(T-350)/100",0.715889504932944,2.83987711001726,5.21486265154604,0.221805165137635,二次模型样本内拟合可能改善，但LOOCV变差，优先一次模型
A1,乙醇转化率,二次多项式,"y = 35.7143 + 58.7652*z + 25.4463*z^2, z=(T-350)/100",0.959495389400913,1.73634076066092,5.29205723451497,0.162497579738931,F检验虽未必显著，但LOOCV、调整R2和RMSE均明显改善
A2,C4烯烃选择性,二次多项式,"y = 39.9054 + 53.2914*z + 31.1314*z^2, z=(T-350)/100",0.960568998276575,1.20321759105682,3.91781387879043,0.0620042034360611,F检验虽未必显著，但LOOCV、调整R2和RMSE均明显改善
A2,乙醇转化率,一次多项式,"y = 70.1444 + 66.2958*z, z=(T-350)/100",0.986675110352989,2.35496537514794,3.97009707423389,0.672238435116916,二次模型样本内拟合可能改善，但LOOCV变差，优先一次模型
A7,C4烯烃选择性,二次多项式,"y = 18.3391 + 24.2594*z + 11.5388*z^2, z=(T-350)/100",0.999301273602469,0.194296610129692,0.905793362506544,0.00279340779265835,二次项显著，且调整R2提高、LOOCV未明显恶化
A7,乙醇转化率,一次多项式,"y = 57.8774 + 37.7537*z, z=(T-350)/100",0.998381695218269,0.708733100839249,1.40116842365512,0.128734150975082,二次模型提升有限且二次项不显著，按简约原则选一次模型
A8,C4烯烃选择性,二次多项式,"y = 25.7158 + 27.8328*z + 7.47087*z^2, z=(T-350)/100",0.999051513578927,0.286521524883818,0.932147263670951,0.0142416826505045,二次项显著，且调整R2提高、LOOCV未明显恶化
A8,乙醇转化率,二次多项式,"y = 30.8318 + 42.4161*z + 17.5092*z^2, z=(T-350)/100",0.998077510828875,0.580320146732992,2.62453772159826,0.010693964231464,二次项显著，且调整R2提高、LOOCV未明显恶化
