催化剂编号,指标,最终模型,调整R2,RMSE,LOOCV_RMSE
A7,C4烯烃选择性,二次多项式,0.999301273602469,0.194296610129692,0.905793362506544
A7,乙醇转化率,一次多项式,0.998381695218269,0.708733100839249,1.40116842365512
A8,C4烯烃选择性,二次多项式,0.999051513578927,0.286521524883818,0.932147263670951
A8,乙醇转化率,二次多项式,0.998077510828875,0.580320146732992,2.62453772159826
